Id,X,Y,Z,dX,dY,dZ,Geological Model B
3032,897485,27921280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3033,898485,27921280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3034,899485,27921280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3035,900485,27921280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3036,901485,27921280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3037,902485,27921280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3040,873485,27922280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3041,874485,27922280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3042,875485,27922280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3043,876485,27922280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3044,877485,27922280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3045,878485,27922280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3046,879485,27922280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3047,880485,27922280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3048,881485,27922280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3049,882485,27922280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3050,883485,27922280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3051,884485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3052,885485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3053,886485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3054,887485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3055,888485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3056,889485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3057,890485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3058,891485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3059,892485,27922280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3060,893485,27922280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3061,894485,27922280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3062,895485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3063,896485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3064,897485,27922280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3065,898485,27922280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3066,899485,27922280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3067,900485,27922280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3068,901485,27922280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3069,902485,27922280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3072,873485,27923280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3073,874485,27923280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3074,875485,27923280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3075,876485,27923280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3076,877485,27923280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3077,878485,27923280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3078,879485,27923280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3079,880485,27923280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3080,881485,27923280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3081,882485,27923280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3082,883485,27923280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3083,884485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3084,885485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3085,886485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3086,887485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3087,888485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3088,889485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3089,890485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3090,891485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3091,892485,27923280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3092,893485,27923280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3093,894485,27923280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3094,895485,27923280.2,4097.700000000001,1000,1000,1000,pC  meta quartzite basement
3095,896485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3096,897485,27923280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3097,898485,27923280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3098,899485,27923280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3099,900485,27923280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3100,901485,27923280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3101,902485,27923280.2,4097.700000000001,1000,1000,1000,Ts3 sedimentary with tuff
3104,873485,27924280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3105,874485,27924280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3106,875485,27924280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3107,876485,27924280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3108,877485,27924280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3109,878485,27924280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3110,879485,27924280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3111,880485,27924280.2,4097.700000000001,1000,1000,1000,Qta basin-fill
3112,881485,27924280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3113,882485,27924280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3114,883485,27924280.2,4097.700000000001,1000,1000,1000,Cm Pioche Shale (and limestone)
3115,884485,27924280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3116,885485,27924280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3117,886485,27924280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3118,887485,27924280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3119,888485,27924280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3120,889485,27924280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3121,890485,27924280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
3122,891485,27924280.2,4097.700000000001,1000,1000,1000,CpCs quartzite
