2_y,
Time,Acceleration
TIME,ACCEL
4.26,1.222300856
4.265,1.416276393
4.27,1.614370723
4.275,1.781574106
4.28,1.954171146
4.285,2.086364788
4.29,2.216989366
4.295,2.300247824
4.3,2.392332268
4.305,2.437344791
4.31,2.482357315
4.315,2.460292352
4.32,2.439796454
4.325,2.347123611
4.33,2.250430042
4.335,2.091562312
4.34,1.926516393
4.345,1.70861263
4.35,1.48864947
4.355,1.22583125
4.36,0.960855567
4.365,0.666332448
4.37,0.369769545
4.375,0.059899018
4.38,-0.251972065
4.385,-0.559459576
4.39,-0.868545571
4.395,-1.154536905
4.4,-1.442656282
4.405,-1.690274194
4.41,-1.93975537
4.415,-2.133534774
4.42,-2.331040705
4.425,-2.470589335
4.43,-2.613766425
4.435,-2.689767962
4.44,-2.764592702
4.445,-2.76939796
4.45,-2.774497418
4.455,-2.717324649
4.46,-2.660446079
4.465,-2.55394586
4.47,-2.447445641
4.475,-2.307602812
4.48,-2.16726965
4.485,-2.011834248
4.49,-1.855810446
4.495,-1.702826706
4.5,-1.548371969
4.505,-1.412549866
4.51,-1.275354833
4.515,-1.171012077
4.52,-1.061177597
4.525,-0.987823855
4.53,-0.911704637
4.535,-0.879489792
4.54,-0.843872039
4.545,-0.850285588
4.55,-0.854561288
4.555,-0.897102535
4.56,-0.937349027
4.565,-1.006946822
4.57,-1.074220441
4.575,-1.160420895
4.58,-1.244071619
4.585,-1.336352196
4.59,-1.425984977
4.595,-1.515127425
4.6,-1.601720145
4.605,-1.680663677
4.61,-1.757057481
4.615,-1.820212307
4.62,-1.876698611
4.625,-1.915140679
4.63,-1.951033018
4.635,-1.970057919
4.64,-1.986729224
4.645,-1.986042758
4.65,-1.983100763
4.655,-1.962997131
4.66,-1.940736035
4.665,-1.901803635
4.67,-1.861106037
4.675,-1.804521667
4.68,-1.748133429
4.685,-1.677329416
4.69,-1.604956339
4.695,-1.517873287
4.7,-1.430496036
4.705,-1.332723735
4.71,-1.240639292
4.715,-1.140807595
4.72,-1.040191366
4.725,-0.935887836
4.73,-0.830966488
4.735,-0.722387259
4.74,-0.612101673
4.745,-0.489312608
4.75,-0.3568738
4.755,-0.22742602
4.76,-0.093836892
4.765,0.039782637
4.77,0.162123538
4.775,0.279891598
4.78,0.392520973
4.785,0.490430567
4.79,0.583593742
4.795,0.672108564
4.8,0.755876969
4.805,0.817550991
4.81,0.870497094
4.815,0.921638774
4.82,0.961434159
4.825,0.985666392
4.83,1.006260357
4.835,1.023029728
4.84,1.03587644
4.845,1.041270097
4.85,1.04538889
4.855,1.043329494
4.86,1.040289432
4.865,1.029894383
4.87,1.021558731
4.875,1.004985492
4.88,0.996551773
4.885,0.980184474
4.89,0.96318955
4.895,0.941624726
4.9,0.911714444
4.905,0.87487086
4.91,0.834732241
4.915,0.79044541
4.92,0.746952917
4.925,0.70587286
4.93,0.666126508
4.935,0.63178362
4.94,0.598960762
4.945,0.574238295
4.95,0.551202377
4.955,0.538492958
4.96,0.527646803
4.965,0.528823601
4.97,0.530343534
4.975,0.544994767
4.98,0.561842592
4.985,0.592400113
4.99,0.621084564
4.995,0.66304722
5,0.706127833
5.005,0.762123805
5.01,0.819934007
5.015,0.879823218
5.02,0.939516297
5.025,0.998905369
5.03,1.054214875
5.035,1.09442214
5.04,1.134923605
5.045,1.168658481
5.05,1.203275955
5.055,1.227106115
5.06,1.250053676
5.065,1.258291262
5.07,1.268784377
5.075,1.262900387
5.08,1.25946806
5.085,1.240541225
5.09,1.224066053
5.095,1.192978973
5.1,1.157969232
5.105,1.107072719
5.11,1.03362091
5.115,0.949891732
5.12,0.84726514
5.125,0.749904719
5.13,0.649190423
5.135,0.547289523
5.14,0.446516388
5.145,0.354784984
5.15,0.263622365
5.155,0.182678276
5.16,0.093836892
5.165,-0.001738719
5.17,-0.108128123
5.175,-0.207498907
5.18,-0.307114858
5.185,-0.406926942
5.19,-0.505709327
5.195,-0.608512341
5.2,-0.710099527
5.205,-0.818433589
5.21,-0.910959332
5.215,-1.013026945
5.22,-1.113839307
5.225,-1.228675179
5.23,-1.334194733
5.235,-1.429711504
5.24,-1.521894014
5.245,-1.608094467
5.25,-1.691352926
5.255,-1.761078207
